EpsCru,3.2348086007,-1.0542027771,3.59,K3/K4III
45TheCet,0.3666246769,-0.1428159943,3.6,K0III
34TheGem,1.801131795,0.5927377224,3.6,A3III
39UpsLib,4.0885398443,-0.4910496241,3.6,K3III
DelAra,4.5862872655,-1.0591287384,3.6,B8V
41Ari,0.7416914363,0.4757905499,3.61,B8Vn
1OmiTau,0.893669489,0.1575869133,3.61,G8III
41LamHya,2.6642012579,-0.2156151695,3.61,K0III
5BetVir,3.1009618337,0.0308116421,3.61,F8V
DelMus,3.4132660592,-1.2487621123,3.61,K2III
EtaPav,4.6501390786,-1.1296422712,3.61,K1III
99EtaPsc,0.3991708961,0.2678352776,3.62,G8III
27Tau,0.9999086676,0.4198131926,3.62,B8III
Zet2Sco,4.4269625722,-0.739334721,3.62,K4III
1OmiAnd,6.0297668796,0.7387276867,3.62,B6pvSB
LamMus,3.0788020575,-1.1646380241,3.63,A7III
6BetDel,5.3998210667,0.2547343454,3.64,F5IV
54GamTau,1.1335574514,0.2727548249,3.65,G8III
28BetSer,4.1285192498,0.269163386,3.65,A3V
TheAra,4.7413235409,-0.8742608102,3.65,B2Ib
55Zet1Aqr,5.8853811767,-0.0003501661,3.65,F3III-IV
3BetCrB,4.048425874,0.5079866595,3.66,F0p
40TauLib,4.0956612065,-0.5197187228,3.66,B2.5V
23UMa,2.4937533159,1.1006359628,3.67,F0IV
11AlpDra,3.6843483088,1.123569821,3.67,A0IIISB
BetInd,5.4751400123,-1.0202164138,3.67,K0III
3Pi4Ori,1.2706263117,0.0978274754,3.68,B2IIISB
AlpPyx,2.2846030809,-0.5792121446,3.68,B1.5III
7DelSge,5.1809564487,0.3234838461,3.68,M2II+B6
40GamCap,5.6727085671,-0.2908111832,3.68,A7III:mp...
88Aqr,6.0626020206,-0.3695295837,3.68,K1III
17ZetCas,0.1613169291,0.9406789133,3.69,B2IV
8ZetAur,1.3198092563,0.7169095155,3.69,K4IIcomp
63ChiUMa,3.080734048,0.8339067452,3.69,K0III
ChiEri,0.5059151354,-0.900757214,3.7,G5IV
16Tau4Eri,0.8705534801,-0.3797477281,3.7,M3/M4III
92XiHer,4.7026319083,0.5104725953,3.7,K0III
6GamPsc,6.0962528081,0.0572859863,3.7,G7III
8Pi5Ori,1.2839147853,0.0425977535,3.71,B2IIISB
37EpsSer,4.1487124413,0.07814851,3.71,A2m
17Tau,0.9812039993,0.4208590686,3.72,B6III
16EtaLep,1.5551115092,-0.2472789125,3.72,F1V
33DelAur,1.5687274074,0.9474516698,3.72,K0III
60BetAql,5.2155358517,0.111839535,3.72,G8IVvar
62XiCyg,5.519302383,0.7666856371,3.72,K5IbvSB
2XiTau,0.9039439002,0.1698689237,3.73,B9Vn
18EpsEri,0.9291275981,-0.1650785786,3.73,K2V
109Vir,3.8669945288,0.0330380059,3.73,A0V
32XiDra,4.6841458792,0.9926115439,3.73,K2III
72Oph,4.7444609081,0.1669172412,3.73,A4IVs
73LamAqr,5.9891601924,-0.132290351,3.73,M2IIIvar
55ZetCet,0.4863367666,-0.1803788228,3.74,K2III
20GamHer,4.2844374225,0.334283293,3.74,A9III
62GamOph,4.6595617935,0.0472540695,3.75,A0V
NuOct,5.678754015,-1.3507009209,3.75,K0III
BetDor,1.4557148661,-1.0906537337,3.76,F6Ia
15DelLep,1.532919249,-0.3643813547,3.76,G8III/IV
11BetMon,1.6965381434,-0.1227498863,3.76,B3Ve
BetVol,2.2066958583,-1.1543000371,3.76,K2IIIvar
10Iot2Cyg,5.1038037397,0.9028495277,3.76,A5Vn
24IotPeg,5.7901643021,0.4423545035,3.76,F5V
7AlpLac,5.8961131478,0.8775943043,3.76,A1V
15EtaPer,0.7448041865,0.9755610278,3.77,K3IbcompSB
41NuPer,0.9825944368,0.74313579,3.77,F5IIvar
61Del1Tau,1.1472650815,0.3061758553,3.77,G8III
48SigOri,1.4780586427,-0.0453797458,3.77,O9.5V...
EtaAra,4.4060190767,-1.0304653673,3.77,K5III
39OmiSgr,4.9946184515,-0.37945822,3.77,K0III
9AlpDel,5.4089393064,0.2777177104,3.77,B9V
34ZetCap,5.6141444419,-0.3911523426,3.77,G4Ibp...
Gam2Vol,1.8707620284,-1.2304430614,3.78,G8IIIvar
60IotGem,1.9448550067,0.4851716103,3.78,G9III+...
29UpsUMa,2.5787015493,1.0304267587,3.78,F0IV
30ZetBoo,3.8447363841,0.239604579,3.78,A3IVn
2EpsAqr,5.4440115546,-0.1657310532,3.78,A1V
27KapPer,0.8268227591,0.7829178578,3.79,K0III
46LMi,2.8506055322,0.5971742893,3.79,K0III-IV
13DelSer,4.0788482954,0.1839377917,3.8,F0IV
1KapCyg,5.0488091838,0.9314501189,3.8,K0III
31Cyg,5.295467315,0.8157900035,3.8,K2II+...
52Ups2Eri,1.2023189009,-0.5334129451,3.81,G8III
8GamCrB,4.1134965726,0.4589433011,3.81,A1Vs
113AlpPsc,0.5325290878,0.0482367201,3.82,A2
38Lyn,2.4384189392,0.6423317379,3.82,A1V
1LamDra,3.0168225892,1.2100563462,3.82,M0IIIvar
10LamOph,4.3236780642,0.0346290875,3.82,A2V
85IotHer,4.6227875875,0.8029617984,3.82,B3VSB
65TauCyg,5.5623168104,0.6639986532,3.82,F1IV
16LamAnd,6.1852801666,0.8108655926,3.82,G8III-IV
42MuHya,2.7318406169,-0.2938453056,3.83,K4III
PhiCen,3.6576490359,-0.7347959242,3.83,B2IV
AlpAps,3.8740292485,-1.379590488,3.83,K5III
38OmiPer,0.9787752942,0.563536678,3.84,B1III
77The1Tau,1.1718745878,0.2785932462,3.84,G7III
47RhoLeo,2.7611599728,0.1624307129,3.84,B1IbSB
GamMus,3.2832632796,-1.2589579287,3.84,B5V
103OmiHer,4.7452993992,0.5019998069,3.84,B9.5V
13MuSgr,4.7724434823,-0.3675459255,3.84,B2III:
63EpsDra,5.1843706295,1.2264050848,3.84,G8III
48GamAqr,5.8540742896,-0.0242138804,3.84,A0V
BetRet,0.9782246751,-1.1310971686,3.85,K0IVSB
AlpHor,1.1082899882,-0.7381673362,3.85,K1III
BetPic,1.5153154602,-0.8912822851,3.85,A3V
DelCol,1.6672872271,-0.5835730449,3.85,G7II
5KapDra,3.2876943468,1.2180340422,3.85,B6IIIp
TauCen,3.3061137742,-0.8472053016,3.85,A2V
41GamSer,4.1732999879,0.273401172,3.85,F6V
109Her,4.8157827766,0.3799641557,3.85,K2III
AlpSct,4.8660097955,-0.1438728692,3.85,K2III
37MuAnd,0.2476256894,0.6719387616,3.86,A5V
